2021,-0.00499933589298962
2022,-0.002888635250428706
2023,-0.0002673523570138059
2024,0.0028645127863455855
2025,0.006506960180331589
2026,0.010659989824944205
2027,0.015323601719501312
2028,0.02049779586468503
2029,0.026182572260040615
2030,0.03237793090602281
2031,0.039083871802404246
2032,0.04630039494873017
2033,0.05402750034613746
2034,0.06226518799326186
2035,0.07101345789124025
2036,0.0802723100393905
2037,0.09004174443771262
2038,0.10032176108688873
2039,0.11111235998646407
2040,0.12241354113575653
2041,0.13422530453613035
2042,0.1465476501862213
2043,0.1593805780871662
2044,0.17272408823873775
2045,0.1865781806400264
2046,0.20094285529216904
2047,0.21581811219425617
2048,0.2312039513471973
2049,0.24710037275053764
2050,0.2635073764038225
2051,0.28042496230773395
2052,0.2978531304618173
2053,0.3157918808667546
2054,0.33424121352186376
2055,0.3532011284269174
2056,0.37267162558305245
2057,0.3926527049889046
2058,0.4131443666456107
2059,0.4341466105527161
2060,0.45565943670976594
2061,0.4776828451176698
2062,0.5002168357759729
2063,0.5232614086842204
2064,0.546816563843322
2065,0.5708823012521407
2066,0.5954586209120407
2067,0.6205455228221126
2068,0.6461430069823564
2069,0.6722510733932268
2070,0.6988697220540416
2071,0.7259989529657105
2072,0.7536387661277786
2073,0.7817891615397912
2074,0.8104501392026577
2075,0.8396216991154688
2076,0.8693038412791338
2077,0.8994965656929708
2078,0.9301998723569795
2079,0.9614137612718423
2080,0.9931382324364222
2081,1.025373285851856
2082,1.0581189215179165
2083,1.0913751394336941
2084,1.1251419396003257
2085,1.1594193220173565
2086,1.1942072866843318
2087,1.2295058336021611
2088,1.265314962769935
2089,1.3016346741883353
2090,1.3384649678573624
2091,1.3758058437763339
2092,1.413657301945932
2093,1.452019342365702
2094,1.4908919650360986
2095,1.5302751699568944
2096,1.5701689571276347
2097,1.610573326549229
2098,1.6514882782207678
2099,1.6929138121431606
2100,1.7348499283159526
2101,1.7772966267386892
2102,1.8202539074122797
2103,1.8637217703355873
2104,1.9077002155099763
2105,1.952189242934537
2106,1.9971888526092698
2107,2.042699044534629
2108,2.0887198187103877
2109,2.135251175136318
2110,2.182293113812875
2111,2.2298456347393767
2112,2.277908737916732
2113,2.326482423344487
2114,2.375566691021959
2115,2.425161540950512
2116,2.47526697312901
2117,2.525882987558134
2118,2.577009584237885
2119,2.628646763167353
2120,2.680794524347675
